Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,010619,"Live mammals, n.e.s.",1,No Quantity,0,,,,15,,566,,,2
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,010632,"Live birds (order Psittaciformes), incl. parrots/parakeets/macaws/cockatoos",5,Number of items,108,,,,7,,939,,,0
H3,2011,2011,2011,6,1,1,Import,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,010690,"Live animals, n.e.s.",1,No Quantity,0,,,,172,,94894,,,2
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,010690,"Live animals, n.e.s.",1,No Quantity,0,,,,20,,974,,,2
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020312,"Hams, shoulders & cuts thereof , fresh/chilled, bone-in",8,Weight in kilograms,110750,,,,110750,,289555,,,0
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020319,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), fresh/chilled",8,Weight in kilograms,485771,,,,485771,,1887853,,,0
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020321,"Carcasses/half-carcasses of swine, frozen",8,Weight in kilograms,114971,,,,114971,,275045,,,0
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020322,"Hams, shoulders & cuts thereof , frozen, bone-in",8,Weight in kilograms,2156484,,,,2156484,,4651022,,,0
H3,2011,2011,2011,6,1,1,Import,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020329,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), froxen",8,Weight in kilograms,265159,,,,265159,,647755,,,0
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020329,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), froxen",8,Weight in kilograms,20841745,,,,20841745,,55709044,,,0
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020610,"Edible offal of bovine animals, fresh/chilled",8,Weight in kilograms,12730,,,,12730,,41443,,,0
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020629,"Edible offal of bovine animals (excl. tongues & livers), frozen",8,Weight in kilograms,115000,,,,115000,,372324,,,0
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020630,"Edible offal of swine, fresh/chilled",8,Weight in kilograms,125108,,,,125108,,295300,,,0
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020641,"Livers of swine, frozen",8,Weight in kilograms,24006,,,,24006,,51721,,,0
H3,2011,2011,2011,6,1,1,Import,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020649,"Edible offal of swine (excl. liver), frozen",8,Weight in kilograms,23223,,,,23223,,34172,,,0
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020649,"Edible offal of swine (excl. liver), frozen",8,Weight in kilograms,6502117,,,,6502117,,13106046,,,0
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020714,"Cuts & edible offal of species Gallus domesticus, frozen",8,Weight in kilograms,23717,,,,23717,,54792,,,0
H3,2011,2011,2011,6,1,1,Import,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020900,"Pig fat (free of lean meat) & poultry fat (not rendered/othw. extracted), fresh/chilled/frozen/salted/in brine/dried/smoked",8,Weight in kilograms,94693,,,,94693,,191549,,,0
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,020900,"Pig fat (free of lean meat) & poultry fat (not rendered/othw. extracted), fresh/chilled/frozen/salted/in brine/dried/smoked",8,Weight in kilograms,1468092,,,,1468092,,1917763,,,0
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,021011,"Hams, shoulders & cuts thereof , of swine, salted/in brine/dried/smoked, bone-in",8,Weight in kilograms,4228,,,,4228,,97742,,,0
H3,2011,2011,2011,6,1,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,021012,"Bellies (streaky) & cuts thereof , of swine, salted/in brine/dried/smoked",8,Weight in kilograms,60,,,,60,,893,,,0
