Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2011,2011,2011,6,1,2,Export,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,010110,Live horses/asses/mules/hinnies: pure-bred breeding animals,5,Number of items,20,,,,11524,,325247,,,4
H3,2011,2011,2011,6,1,2,Export,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,010190,Live horses/asses/mules/hinnies other than pure-bred breeding animals,5,Number of items,3,,,,,,120024,,,0
H3,2011,2011,2011,6,1,2,Export,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,010612,Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order Sirenia),5,Number of items,9,,,,,,443651,,,0
H3,2011,2011,2011,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,010619,"Live mammals, n.e.s.",5,Number of items,87851,,,,1989,,358761,,,0
H3,2011,2011,2011,6,1,2,Export,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,010619,"Live mammals, n.e.s.",5,Number of items,141713,,,,,,3720790,,,0
H3,2011,2011,2011,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,010620,"Live reptiles, incl. snakes & turtles",5,Number of items,5,,,,62,,2863,,,4
H3,2011,2011,2011,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,021099,"Meat & edible meat offal, n.e.s., salted/in brine/dried/smoked, incl. edible flours/meals",8,Weight in kilograms,2751,,,,2751,,48828,,,0
H3,2011,2011,2011,6,1,2,Export,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,030110,Live ornamental fish,8,Weight in kilograms,726,,,,726,,89180,,,0
H3,2011,2011,2011,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,030192,Live eels (Anguilla spp.),8,Weight in kilograms,28425,,,,28425,,1038181,,,0
H3,2011,2011,2011,6,1,2,Export,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,030192,Live eels (Anguilla spp.),8,Weight in kilograms,3819,,,,3819,,330936,,,0
H3,2011,2011,2011,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,030199,"Live fish(excl. of 0301.10-0301.95),n.e.s.",8,Weight in kilograms,5513386,,,,5513386,,70428799,,,0
H3,2011,2011,2011,6,1,2,Export,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,030199,"Live fish(excl. of 0301.10-0301.95),n.e.s.",8,Weight in kilograms,3316561,,,,3316561,,34899518,,,0
H3,2011,2011,2011,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,030229,"Flat fish (excl. of 0302.21-0302.23) [see list of conventions for species incld.], fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",8,Weight in kilograms,21604,,,,21604,,212466,,,0
H3,2011,2011,2011,6,1,1,Import,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,030233,"Skipjack/stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",8,Weight in kilograms,4420,,,,4420,,6204,,,0
