Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,010190,Live horses/asses/mules/hinnies other than pure-bred breeding animals,5,Number of items,54,,,,29300,,981589,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,010619,"Live mammals, n.e.s.",5,Number of items,47,,,,94,,34905,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020110,"Carcasses/half-carcasses of bovine animals, fresh/chilled",8,Weight in kilograms,140959,,,,140959,,758334,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020120,"Meat of bovine animals, fresh/chilled (excl. of 0201.10), bone-in",8,Weight in kilograms,5472106,,,,5472106,,27446955,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020130,"Meat of bovine animals, fresh/chilled, boneless",8,Weight in kilograms,34522249,,,,34522249,,256081550,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020210,"Carcasses/half-carcasses of bovine animals, frozen",8,Weight in kilograms,11175,,,,11175,,210991,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020220,"Meat of bovine animals, frozen (excl. of 0202.10), bone-in",8,Weight in kilograms,31014153,,,,31014153,,95859703,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020230,"Meat of bovine animals, frozen, boneless",8,Weight in kilograms,96314415,,,,96314415,,418717835,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020311,"Carcasses/half-carcasses of swine, fresh/chilled",8,Weight in kilograms,75000,,,,75000,,142458,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020319,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), fresh/chilled",8,Weight in kilograms,48300,,,,48300,,45042,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020322,"Hams, shoulders & cuts thereof , frozen, bone-in",8,Weight in kilograms,22000,,,,22000,,21178,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020329,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), froxen",8,Weight in kilograms,1033752,,,,1033752,,1678977,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020422,"Meat of sheep (excl. lamb & carcasses), fresh/chilled, bone-in",8,Weight in kilograms,410973,,,,410973,,2441130,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020423,"Meat of sheep (excl. lamb), fresh/chilled, boneless",8,Weight in kilograms,319,,,,319,,8265,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020430,"Carcasses/half-carcasses of lamb, frozen",8,Weight in kilograms,213,,,,213,,1343,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020441,"Carcasses/half-carcasses of sheep (excl. lamb), frozen",8,Weight in kilograms,75827,,,,75827,,356874,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020442,"Meat of sheep (excl. lamb & carcasses), frozen, bone-in",8,Weight in kilograms,1824927,,,,1824927,,10368221,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020443,"Meat of sheep (excl. lamb), frozen, boneless",8,Weight in kilograms,1497155,,,,1497155,,7702177,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020450,"Meat of goats, fresh/chilled/frozen",8,Weight in kilograms,941064,,,,941064,,4579922,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020610,"Edible offal of bovine animals, fresh/chilled",8,Weight in kilograms,455331,,,,455331,,3123047,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020621,"Tongues of bovine animals, frozen",8,Weight in kilograms,16352,,,,16352,,21083,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020622,"Livers of bovine animals, frozen",8,Weight in kilograms,29654,,,,29654,,40899,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020629,"Edible offal of bovine animals (excl. tongues & livers), frozen",8,Weight in kilograms,19498362,,,,19498362,,69493318,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020641,"Livers of swine, frozen",8,Weight in kilograms,18155,,,,18155,,8721,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020649,"Edible offal of swine (excl. liver), frozen",8,Weight in kilograms,741498,,,,741498,,879916,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020690,"Edible offal, n.e.s., frozen",8,Weight in kilograms,124758,,,,124758,,595948,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020727,"Cuts & edible offal of turkey, frozen",8,Weight in kilograms,5918,,,,5918,,33629,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020890,"Meat&edible meat offal, n.e.s., fresh/chilled/frozen",8,Weight in kilograms,17442,,,,17442,,55786,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,020900,"Pig fat (free of lean meat) & poultry fat (not rendered/othw. extracted), fresh/chilled/frozen/salted/in brine/dried/smoked",8,Weight in kilograms,4770,,,,4770,,47429,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,021011,"Hams, shoulders & cuts thereof , of swine, salted/in brine/dried/smoked, bone-in",8,Weight in kilograms,1631,,,,1631,,26061,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,021012,"Bellies (streaky) & cuts thereof , of swine, salted/in brine/dried/smoked",8,Weight in kilograms,5545,,,,5545,,73753,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,021019,"Meat of swine (excl. hams/shoulders & cuts thereof & bellies (streaky) & cuts thereof ), salted/in brine/dried/smoked",8,Weight in kilograms,16791,,,,16791,,235927,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,021020,"Meat of bovine animals, salted/in brine/dried/smoked",8,Weight in kilograms,13255,,,,13255,,99277,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,030110,Live ornamental fish,8,Weight in kilograms,3218,,,,3218,,29433,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,030192,Live eels (Anguilla spp.),8,Weight in kilograms,9006,,,,9006,,119143,,,0
H3,2011,2011,2011,6,1,1,Import,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,030221,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus/stenolepis), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",8,Weight in kilograms,126,,,,126,,3363,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,030232,"Yellowfin tunas (Thunnus albacares), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",8,Weight in kilograms,260,,,,260,,2332,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,030236,"Southern bluefin tunas (Thunnus maccoyii), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",8,Weight in kilograms,151,,,,151,,2332,,,0
H3,2011,2011,2011,6,1,1,Import,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,030265,"Dogfish & other sharks, fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",8,Weight in kilograms,2144,,,,2144,,9960,,,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,030346,"Southern bluefin tunas (Thunnus maccoyii), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",8,Weight in kilograms,49922,,,,49922,,1087082,,,0
H3,2011,2011,2011,6,1,1,Import,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,030373,"Coalfish (Pollachius virens), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",8,Weight in kilograms,320,,,,320,,2202,,,0
H3,2011,2011,2011,6,1,1,Import,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,030374,"Mackerel (Scomber scombrus/australasicus/japonicus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",8,Weight in kilograms,9578,,,,9578,,56571,,,0
