Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010121,"Horses; live, pure-bred breeding animals",5,Number of items,1,,,,500,,62133,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010129,"Horses; live, other than pure-bred breeding animals",5,Number of items,3,,,,1500,,61983,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010129,"Horses; live, other than pure-bred breeding animals",5,Number of items,55,,,,27500,,2201542,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010612,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",5,Number of items,3,,,,195,,71649,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",1,No Quantity,0,,,,50,,5106,,,2
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",1,No Quantity,0,,,,1592,,56894,,,2
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010620,Reptiles; live (including snakes and turtles),5,Number of items,18,,,,5,,4758,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010620,Reptiles; live (including snakes and turtles),5,Number of items,1770,,,,148,,252552,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",1,No Quantity,0,,,,1346,,84064,,,2
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",8,Weight in kilograms,85,,,,85,,2279,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",8,Weight in kilograms,3303,,,,3303,,35353,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020230,"Meat; of bovine animals, boneless cuts, frozen",8,Weight in kilograms,68,,,,68,,1907,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020230,"Meat; of bovine animals, boneless cuts, frozen",8,Weight in kilograms,10609,,,,10609,,122305,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",8,Weight in kilograms,292596,,,,292596,,976457,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020321,"Meat; of swine, carcasses and half-carcasses, frozen",8,Weight in kilograms,5529,,,,5529,,23217,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",8,Weight in kilograms,7221388,,,,7221388,,14804157,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",8,Weight in kilograms,87110256,,,,87110256,,301927801,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020430,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",8,Weight in kilograms,97,,,,97,,585,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020442,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",8,Weight in kilograms,1604,,,,1604,,8819,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020621,"Offal, edible; of bovine animals, tongues, frozen",8,Weight in kilograms,1015,,,,1015,,3056,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020629,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",8,Weight in kilograms,2133,,,,2133,,3551,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020649,"Offal, edible; of swine, (other than livers), frozen",8,Weight in kilograms,10697178,,,,10697178,,14629753,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020712,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",8,Weight in kilograms,48652,,,,48652,,87245,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",8,Weight in kilograms,20234,,,,20234,,31426,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020725,"Meat and edible offal; of turkeys, not cut in pieces, frozen",8,Weight in kilograms,2061,,,,2061,,7809,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020727,"Meat and edible offal; of turkeys, cuts and offal, frozen",8,Weight in kilograms,737,,,,737,,3498,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020742,"Meat and edible offal; of ducks, not cut in pieces, frozen",8,Weight in kilograms,6317,,,,6317,,17040,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020745,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",8,Weight in kilograms,144,,,,144,,2901,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020755,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen",8,Weight in kilograms,130,,,,130,,5343,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020760,"Meat and edible offal; of guinea fowls, fresh, chilled or frozen",8,Weight in kilograms,74,,,,74,,680,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020890,"Meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen",8,Weight in kilograms,168,,,,168,,2618,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,020910,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",8,Weight in kilograms,768468,,,,768468,,1476237,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,021012,"Meat; salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof",8,Weight in kilograms,16151,,,,16151,,54177,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,021019,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",8,Weight in kilograms,178104,,,,178104,,772373,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,021099,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)",8,Weight in kilograms,143,,,,143,,2293,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,030111,"Fish; live, ornamental, freshwater",8,Weight in kilograms,285,,,,285,,90129,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,030224,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,100,,,,100,,2048,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,030244,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,200,,,,200,,392,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,030289,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,114,,,,114,,1236,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,030312,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,1100,,,,1100,,7067,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,32,,,,32,,248,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,030314,"Fish; frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, meat of 0304, and edible fish offal of 0303.91 to 0303.99",8,Weight in kilograms,200,,,,200,,887,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,030331,"Fish; frozen, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,405,,,,405,,4349,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,66,,,,66,,202,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,030368,"Fish; frozen, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,1190700,,,,1190700,,575394,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,030382,"Fish; frozen, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,30,,,,30,,154,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,030389,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,1609,,,,1609,,9860,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,030389,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,183,,,,183,,4677,,,0
