Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,010111,"Horses, live pure-bred breeding",5,Number of items,87,,,,0,,347129,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,010119,"Horses, live except pure-bred breeding",5,Number of items,233,,,,0,,418074,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,010210,"Bovine animals, live pure-bred breeding",5,Number of items,1029,,,,0,,771100,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,010310,"Swine, live pure-bred breeding",5,Number of items,225,,,,0,,49399,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,010511,"Fowls, live domestic < 185 grams",5,Number of items,485599,,,,0,,2352184,,,0
H0,1993,1993,1993,6,1,1,Import,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,010600,"Animals, live, except farm animals",1,No Quantity,0,,,,0,,11189,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,010600,"Animals, live, except farm animals",1,No Quantity,0,,,,0,,889348,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020110,"Bovine carcasses and half carcasses, fresh or chilled",8,Weight in kilograms,2481562,,,,2481562,,9455229,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020120,"Bovine cuts bone in, fresh or chilled",8,Weight in kilograms,76203,,,,76203,,399464,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020130,"Bovine cuts boneless, fresh or chilled",8,Weight in kilograms,197566,,,,197566,,868350,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020210,"Bovine carcasses and half carcasses, frozen",8,Weight in kilograms,81675,,,,81675,,207654,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020220,"Bovine cuts bone in, frozen",8,Weight in kilograms,4207062,,,,4207062,,17301716,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020230,"Bovine cuts boneless, frozen",8,Weight in kilograms,31503893,,,,31503893,,122994258,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020322,"Hams, shoulders and cuts, of swine, bone in, frozen",8,Weight in kilograms,60472,,,,60472,,104673,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020329,"Swine cuts, frozen nes",8,Weight in kilograms,195867,,,,195867,,342184,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020442,"Sheep cuts, bone in, frozen",8,Weight in kilograms,134687,,,,134687,,271313,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020610,"Bovine edible offal, fresh or chilled",8,Weight in kilograms,68578,,,,68578,,222054,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020621,"Bovine tongues, frozen",8,Weight in kilograms,18019,,,,18019,,46871,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020622,"Bovine livers, frozen",8,Weight in kilograms,13125,,,,13125,,104000,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020629,"Bovine edible offal, frozen except livers and tongues",8,Weight in kilograms,9068870,,,,9068870,,11166010,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020649,"Swine edible offal, frozen except livers",8,Weight in kilograms,891625,,,,891625,,719574,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020680,"Sheep, goat, ass, mule, hinnie offal, fresh or chille",8,Weight in kilograms,398,,,,398,,8993,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020710,"Poultry, domestic, whole, fresh or chilled",8,Weight in kilograms,785937,,,,785937,,1490647,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020721,"Fowls, domestic, whole, frozen",8,Weight in kilograms,45234,,,,45234,,55757,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020722,"Turkeys, domestic, whole, frozen",8,Weight in kilograms,242406,,,,242406,,435615,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020739,"Poultry cuts & offal, except livers, fresh or chilled",8,Weight in kilograms,168339,,,,168339,,275185,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020741,"Fowl cuts & offal, domestic, except livers, frozen",8,Weight in kilograms,4200035,,,,4200035,,4361495,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020742,"Turkey cuts & offal, except livers, frozen",8,Weight in kilograms,7723421,,,,7723421,,13244932,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020750,"Poultry livers, domestic, frozen",8,Weight in kilograms,5437,,,,5437,,5268,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,020890,"Meat and edible offal nes fresh, chilled or frozen",8,Weight in kilograms,580750,,,,580750,,1254468,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,021011,"Hams and shoulders, swine, salted, dried or smoked",8,Weight in kilograms,3625,,,,3625,,13758,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,021012,"Bellies (streaky) of swine, salted, dried or smoked",8,Weight in kilograms,51148,,,,51148,,257489,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,021019,"Swine meat, salted/dried/smoked not ham/shoulder/bell",8,Weight in kilograms,3312,,,,3312,,13155,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,021020,"Bovine meat salted, dried or smoked",8,Weight in kilograms,18468,,,,18468,,113244,,,0
H0,1993,1993,1993,6,1,1,Import,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,021090,"Meat and edible meat offal cured, flours, meals nes",8,Weight in kilograms,24,,,,24,,3606,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,021090,"Meat and edible meat offal cured, flours, meals nes",8,Weight in kilograms,45390,,,,45390,,196425,,,0
H0,1993,1993,1993,6,1,1,Import,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030110,"Ornamental fish, live",1,No Quantity,0,,,,0,,16527,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030110,"Ornamental fish, live",1,No Quantity,0,,,,0,,9989,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030191,"Trout, live",1,No Quantity,0,,,,0,,9999,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030192,"Eels, live",1,No Quantity,0,,,,0,,129714,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030199,"Fish live, except trout, eel or carp",1,No Quantity,0,,,,0,,68063,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030212,"Salmon fresh or chilled, whole",8,Weight in kilograms,191179,,,,191179,,706933,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030219,"Salmonidae, not trout or salmon,fresh or chilled whol",8,Weight in kilograms,11250,,,,11250,,61046,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030229,"Flatfish, fresh/chilled not halibut/plaice/sole, whol",8,Weight in kilograms,678875,,,,678875,,3873503,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030239,"Tuna nes, fresh or chilled, whole",8,Weight in kilograms,14375,,,,14375,,90524,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030240,"Herring, fresh or chilled, whole",8,Weight in kilograms,383750,,,,383750,,590740,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030250,"Cod, fresh or chilled, whole",8,Weight in kilograms,1528062,,,,1528062,,2885978,,,0
H0,1993,1993,1993,6,1,1,Import,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030264,"Mackerel, fresh or chilled, whole",8,Weight in kilograms,14812,,,,14812,,44313,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030264,"Mackerel, fresh or chilled, whole",8,Weight in kilograms,51640,,,,51640,,69447,,,0
H0,1993,1993,1993,6,1,1,Import,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030265,"Dogfish and other sharks, fresh or chilled, whole",8,Weight in kilograms,38000,,,,38000,,9500,,,0
H0,1993,1993,1993,6,1,1,Import,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030266,"Eels, fresh or chilled, whole",8,Weight in kilograms,93,,,,93,,1802,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030266,"Eels, fresh or chilled, whole",8,Weight in kilograms,20476,,,,20476,,37529,,,0
H0,1993,1993,1993,6,1,1,Import,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030269,"Fish nes, fresh or chilled, whole",8,Weight in kilograms,5875,,,,5875,,14333,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030269,"Fish nes, fresh or chilled, whole",8,Weight in kilograms,1112312,,,,1112312,,3027580,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030270,"Fish livers and roes, fresh or chilled",8,Weight in kilograms,2125,,,,2125,,21703,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030310,"Salmon, Pacific, frozen, whole",8,Weight in kilograms,382937,,,,382937,,1320110,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030332,"Plaice, frozen, whole",8,Weight in kilograms,253078,,,,253078,,206738,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030333,"Sole, frozen, whole",8,Weight in kilograms,16476386,,,,16476386,,10776173,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030339,"Flatfish except halibut, plaice or sole, frozen, whol",8,Weight in kilograms,13419554,,,,13419554,,7583598,,,0
H0,1993,1993,1993,6,1,1,Import,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030342,"Tunas(yellowfin) frozen, whole",8,Weight in kilograms,280000,,,,280000,,271543,,,0
H0,1993,1993,1993,6,1,1,Import,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030343,"Skipjack,stripe-bellied bonito, frozen, whole",8,Weight in kilograms,428875,,,,428875,,401731,,,0
H0,1993,1993,1993,6,1,1,Import,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030349,"Tunas nes, frozen, whole",8,Weight in kilograms,231843,,,,231843,,175960,,,0
H0,1993,1993,1993,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,030350,"Herrings, frozen, whole",8,Weight in kilograms,756937,,,,756937,,1476085,,,0
